FOX Sports 502 AU|FoxLeague.au
FOX Sports 503 AU|FoxSports503.au
FOX Sports 504 AU|FoxFooty.au
FOX Sports 505 AU|FoxSports505.au
FOX Sports 506 AU|FoxSports506.au
FOX Sports 507 AU|FoxSportsMore.au
Fox Cricket|FoxCricket.au
beIN SPORTS Australia 1|beINSports1.au
beIN SPORTS Australia 2|beINSports2.au
beIN SPORTS Australia 3|beINSports3.au
CTV 2 Canada|CTV2.Toronto,.ON.ca
CTV Canada|CTV.(CFCN).Calgary,.AB.ca
Discovery Velocity CA|CTV.Speed.ca
Global CA|Global.BC.ca
Noovo CA|Noovo.(CFJP).Montreal,.QC.ca
RDS 2 CA|RDS2(src01).ca
RDS CA|RDS.(Réseau.des.sports).ca
RDS Info CA|RDS.Info.ca
Sportsnet 360|Sportsnet.360.ca
Sportsnet East|Sportsnet.(East).-.Satellite/Digital.ca
Sportsnet One|Sportsnet.One.ca
TSN1|TSN1.ca
TSN2|TSN2.ca
TSN3|TSN3.ca
TSN4|TSN4.ca
TSN5|TSN5.ca
TVA Sports|TVA.Sports.ca
TVA Sports 2|TVA.Sports.3.ca
TVO CA|TVO.(TV.Ontario).HD.ca
Sky Sport 1 NZ|Sky.Sport.1.nz
Sky Sport 2 NZ|Sky.Sport.2.nz
Sky Sport 3 NZ|Sky.Sport.3.nz
Sky Sport 4 NZ|Sky.Sport.4.nz
Sky Sport 5 NZ|Sky.Sport.5.nz
Sky Sport 6 NZ|Sky.Sport.6.nz
Sky Sport 7 NZ|Sky.Sport.7.nz
Sky Sport 8 NZ|Sky.Sport.8.nz
Sky Sport 9 NZ|Sky.Sport.9.nz
Sky Sport Select NZ|Sky.Sport.Select.nz
5 USA|5.USA.uk
BBC Four UK|BBC.Four.HD.uk
BBC One UK|BBCOne.uk
BBC Three UK|BBC.Three.HD.uk
BBC Two UK|BBC.Two.HD.uk
Channel 4 UK|Channel4.uk
Channel 5 UK|Channel.5.uk
Dave|Dave(src01).uk
E4 Channel|E4.HD.uk
EuroSport 1 UK|Eurosport.1.HD.uk
EuroSport 2 UK|Eurosport.2.HD.uk
Fashion TV|FashionTV(src01).uk
Film4 UK|Film4.HD.uk
Gold UK|GOLD(src01).uk
ITV 1 UK|ITV1.HD.uk
ITV 2 UK|ITV2.HD.uk
ITV 3 UK|ITV3.HD.uk
ITV 4 UK|ITV4.HD.uk
LaLigaTV UK|Sports.Dummy.us
Liverpool TV (LFC TV)|LFCTV.HD.uk
MTV UK|MTV.HD.uk
MUTV UK|MUTV.HD.uk
RTE 1|RTE1Network.uk
RTE 2|RTE2.uk
Racing Tv UK|Racing.TV.uk
S4C UK|S4C.uk
Sky Arts UK|Sky.Arts.HD.uk
Sky Atlantic|Sky.Atlantic.HD.uk
Sky Cinema Action UK|Sky.Action.uk
Sky Cinema Animation UK|SkyAnimationHD.uk
Sky Cinema Comedy UK|Sky.Comedy.Cinema.uk
Sky Cinema Drama UK|Sky.Drama.HD.uk
Sky Cinema Family UK|Sky.Family.HD.uk
Sky Cinema Greats UK|Sky.Greats.uk
Sky Cinema Hits UK|Sky.Cinema.Hits.HD.uk
Sky Cinema Premiere UK|Sky.Premiere.uk
Sky Cinema Sci-Fi Horror UK|Sky.ScFi/HorHD.uk
Sky Cinema Select UK|Sky.Cinema.Select.uk
Sky Cinema Thriller UK|Sky.Thriller.HD.uk
Sky Comedy UK|Sky.Comedy.HD.uk
Sky Crime|Sky.Crime.HD.uk
Sky History|Sky.HistoryHD.uk
Sky Showcase UK|Sky.Showcase.uk
Sky Sports Action UK|SkySp.Action.uk
Sky Sports Arena UK|SkySportsArena.uk
Sky Sports Cricket|SkySp.Cricket.uk
Sky Sports F1 UK|SkySp.F1.uk
Sky Sports Football UK|SkySp.Fball.uk
Sky Sports Golf UK|SkySp.Golf.uk
Sky Sports MIX UK|SkySp.Mix.HD.uk
Sky Sports Main Event|SkySpMainEv.uk
Sky Sports News UK|SkySp.News.HD.uk
Sky Sports Premier League|SkySportsPremierLeague.uk
Sky Sports Racing UK|SkySp.Racing.uk
Sky Sports Tennis UK|SkySp.Tennis.HD.uk
Sky Witness HD|Sky.Witness.HD.uk
TNT Sports 1 UK|TNT.Sports.1.HD.uk
TNT Sports 2 UK|TNT.Sports.2.HD.uk
TNT Sports 3 UK|TNT.Sports.3.HD.uk
TNT Sports 4 UK|TNT.Sports.4.HD.uk
Viaplay Sports 1 UK|Viaplay1(src01).uk
Viaplay Sports 2 UK|Viaplay2(src01).uk
Viaplay Xtra UK|ViaplayXtra.uk
A&E USA|A.and.E.US.-.Eastern.Feed.us
ABC (WSB-TV) USA|ABC.(WSB).Atlanta,.GA.us
ABC (WABC) USA|ABC.(WABC).New.York,.NY.us
ACC Network USA|ACC.Network.us
AMC USA|AMC.-.Eastern.Feed.us
AXS TV USA|AXS.TV.USA.HD.us
Adult Swim|Adult.Swim.-.East.HD.ca
Altitude Sports|Altitude.Sports.-.Denver.us
Animal Planet|Animal.Planet.US.-.East.us
BBC America (BBCA)|BBC.America.-.East.us
BBC News Channel HD|BBC.World.News.North.America.(BBCWN).us
BET USA|BET.-.Eastern.Feed.us
BIG TEN Network (BTN USA)|Big.Ten.Network.us
BeIN SPORTS USA|beINSports.us
Boomerang|Boomerang.us
Bravo USA|Bravo.USA.-.Eastern.Feed.us
C SPAN 1|C-SPAN.us
CBS Sports Golazo|Sports.Dummy.us
CBS Sports Network (CBSSN)|CBS.Sports.Network.USA.us
CBS (WWJ-TV) USA|CBS.(WWJ).Detroit,.MI.us
CBSNY USA|CBS.(WCBS).New.York,.NY.us
CMT USA|CMT.US.-.Eastern.Feed.us
CNBC USA|CNBC.USA.us
CNN USA|CNN.us
